Company Name,Link,Region,Address,Street,Location,ZipCode,City,gcode,Latitude,Longitude
Brainstorm Consulting,https://www.bstorm.be/,Wallonia,"Rue du Bosquet 7, 1348 Ottignies-Louvain-la-Neuve, Belgium",Rue du Bosquet 7,1348 Ottignies-Louvain-la-Neuve,1348,Ottignies-Louvain-la-Neuve,"7, Rue du Bosquet, Parc Einstein, Louvain-la-Neuve, Ottignies-Louvain-la-Neuve, Nivelles, Brabant wallon, Wallonie, België / Belgique / Belgien",50.660695000000004,4.632663533340631
Calculus,https://www.calculus.group/?lang=fr,Flanders,"Kempenseweg 12, 3690 Zutendaal, Belgium",Kempenseweg 12,3690 Zutendaal,3690,Zutendaal,"12, Kempenseweg, Papendaal, Zutendaal, Hasselt, Limburg, Vlaanderen, 3690, België / Belgique / Belgien",50.9418005,5.559557035066163
Chiveo,http://www.chiveo.be/,Wallonia,"Rue St Exupéry 17, 4460 Grâce-Hollogne, Belgium",Rue St Exupéry 17,4460 Grâce-Hollogne,4460,Grâce-Hollogne,"B17, 17, Rue Saint Exupery, Grâce-Hollogne, Liège, Wallonie, 4460, België / Belgique / Belgien",50.63828555,5.429088569453503
Comexis Partners,https://comexis.net/,Wallonia,"Atealaan 34A, 2200 Herentals, Belgium",Atealaan 34A,2200 Herentals,2200,Herentals,"Actemium, 34A, Atealaan, Klein Gent, Herentals, Turnhout, Antwerpen, Vlaanderen, 2200, België / Belgique / Belgien",51.163941550000004,4.7899353
CooperLink,http://www.cooperlink.io,Wallonia,"Rue du Bois Saint-Jean 15/1, 4102 Seraing, Belgium",Rue du Bois Saint-Jean 15/1,4102 Seraing,4102,Seraing,"AARDEX Group, 15/1, Rue du Bois Saint-Jean, Liège Science-Park, Seraing, Liège, Wallonie, 4102, België / Belgique / Belgien",50.5925498,5.5584119
Creax,https://creax.com/,Flanders,"Walle 113G, 8500 Kortrijk, Belgium",Walle 113G,8500 Kortrijk,8500,Kortrijk,"Walle, Kortrijk, West-Vlaanderen, Vlaanderen, 8500, België / Belgique / Belgien",50.8102084,3.2691787
CrossLang,http://www.crosslang.com/en,Flanders,"Kerkstraat 106, 9050 Gent, Belgium",Kerkstraat 106,9050 Gent,9050,Gent,"106, Kerkstraat, Sas- en Bassijnwijk, Gentbrugge, Gent, Oost-Vlaanderen, Vlaanderen, 9050, België / Belgique / Belgien",51.044752,3.7523628181191375
D-Sight,http://www.d-sight.com/,Brussels,"Witte Patersstraat 4, 1040 Etterbeek, Belgium",Witte Patersstraat 4,1040 Etterbeek,1040,Etterbeek,"Shayp, 4, Rue des Pères Blancs - Witte Patersstraat, Etterbeek, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1040, België / Belgique / Belgien",50.8265808,4.3998762
DART Consulting,http://dartconsult.com/fr/,Brussels,"13 rue du Congrès, 1000 Bruxelles, Belgium",13 rue du Congrès,1000 Bruxelles,1000,Bruxelles,"13, Rue du Congrès - Congresstraat, Quartier des Libertés - Vrijheidswijk, Pentagone - Vijfhoek, Bruxelles - Brussel, Ville de Bruxelles - Stad Brussel, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1000, België / Belgique / Belgien",50.8496078,4.364946572284636
Data Factory,https://www.datafactory.be/,Brussels,"Sinter-Goedeleplein 5, 1000 Brussel, Belgium",Sinter-Goedeleplein 5,1000 Brussel,1000,Brussel,"Place Sainte-Gudule - Sinter-Goedeleplein, Quartier de la Cathédrale, Pentagone - Vijfhoek, Bruxelles - Brussel, Ville de Bruxelles - Stad Brussel, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1000, België / Belgique / Belgien",50.8474471,4.3603269
Data Minded,http://www.dataminded.be,Flanders,"Vismarkt 17, 3000 Leuven, Belgium",Vismarkt 17,3000 Leuven,3000,Leuven,"Linx, 17, Vismarkt, Sint-Maartensdal, Leuven, Vlaams-Brabant, Vlaanderen, 3000, België / Belgique / Belgien",50.8818656,4.6999812
Dataa,http://www.dataa.com,Brussels,"Rue Dieudonné Lefèvre 17, 1020 Bruxelles, Belgium",Rue Dieudonné Lefèvre 17,1020 Bruxelles,1020,Bruxelles,"17, Rue Dieudonné Lefèvre - Dieudonné Lefèvrestraat, Laeken - Laken, Ville de Bruxelles - Stad Brussel, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1020, België / Belgique / Belgien",50.8705127,4.3510053
Dataroots,http://dataroots.io,Flanders,"Tiensevest 132, 3000 Leuven, Belgium",Tiensevest 132,3000 Leuven,3000,Leuven,"Ethias, 132, Tiensevest, Sint-Maartensdal, Leuven, Vlaams-Brabant, Vlaanderen, 3000, België / Belgique / Belgien",50.8763425,4.7149751
Datastories,http://datastories.com,Flanders,"Antoine Coppenslaan 27/bus 11, 2300 Turnhout, Belgium",Antoine Coppenslaan 27/bus 11,2300 Turnhout,2300,Turnhout,,,
Decis,https://www.decis.be/fr/,Wallonia,"Avenue Georges Marchal 18, 1330 Rixensart, Belgium",Avenue Georges Marchal 18,1330 Rixensart,1330,Rixensart,"18, Avenue Georges Marchal, Fond du Patch, Rixensart, Nivelles, Brabant wallon, Wallonie, 1330, België / Belgique / Belgien",50.7128977,4.5291466
Deeper Analytics,http://deeperanalytics.be,Wallonia,"7 rue du Pré Saint-Germain, 5310 Eghezée, Belgium",7 rue du Pré Saint-Germain,5310 Eghezée,5310,Eghezée,"7, Rue du Pré Saint-Germain, Saint-Germain, Éghezée, Namur, Wallonie, 5310, België / Belgique / Belgien",50.57519485,4.843233603962601
DeltaTec,https://www.deltatec.be/,Wallonia,"Rue Gilles Magnée 92/6, 4430 Ans, Belgium",Rue Gilles Magnée 92/6,4430 Ans,4430,Ans,"Rue Gilles Magnée, Ans, Liège, Wallonie, 4430, België / Belgique / Belgien",50.6611674,5.5278817
Dfakto,http://www.dfakto.com,Brussels,"Louis Schmidtlaan 29, 1040 Etterbeek, Belgium",Louis Schmidtlaan 29,1040 Etterbeek,1040,Etterbeek,"Actiris Etterbeek, 29, Boulevard Louis Schmidt - Louis Schmidtlaan, Etterbeek, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1040, België / Belgique / Belgien",50.8269514,4.3994798
Engiforce,http://www.engiforce.com/,Wallonia,"All. Arthur Masson, 1400 Nivelles, Belgium",All. Arthur Masson,1400 Nivelles,1400,Nivelles,"Allée Arthur Masson, Mont Saint-Roch, Nivelles, Brabant wallon, Wallonie, 1400, België / Belgique / Belgien",50.6052621,4.3187207
EuraNova,http://euranova.eu,Wallonia,"Rue Emile Francqui 4, 1435 Mont-Saint-Guibert, Belgium",Rue Emile Francqui 4,1435 Mont-Saint-Guibert,1435,Mont-Saint-Guibert,"4, Rue Émile Francqui, Parc Einstein, Corbais, Mont-Saint-Guibert, Nivelles, Brabant wallon, Wallonie, 1435, België / Belgique / Belgien",50.657852250000005,4.623045330619697
Faktion,https://www.faktion.com/,Flanders,"Oudeleeuwenrui 39, 2000 Antwerpen, Belgium",Oudeleeuwenrui 39,2000 Antwerpen,2000,Antwerpen,"37-39, Oudeleeuwenrui, Schipperskwartier, Antwerpen, Vlaanderen, 2000, België / Belgique / Belgien",51.22757795,4.408669260007036
Fit-For-Purpose Tech.,http://www.fitforpurpose.tech/,Brussels,"Victor Oudartstraat 7, 1030 Schaarbeek, Belgium",Victor Oudartstraat 7,1030 Schaarbeek,1030,Schaarbeek,"7, Rue Victor Oudart - Victor Oudartstraat, Meiser, Plasky, Schaerbeek - Schaarbeek, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1030, België / Belgique / Belgien",50.849257,4.392456
Fourcast,https://gcloud.devoteam.com/,Brussels,"Gemeenschappenlaan 110, 1200 Brussels, Belgium",Gemeenschappenlaan 110,1200 Brussels,1200,Brussels,"Avenue des Communautés - Gemeenschappenlaan, Quartier des Constellations - Sterrenbeeldenwijk, Woluwe-Saint-Lambert - Sint-Lambrechts-Woluwe, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1200, België / Belgique / Belgien",50.8553994,4.4274391
Freemind,http://www.freemind-group.com,Brussels,"Buro Design Center Esplanade 1, 1020 Laeken, Belgium",Buro Design Center Esplanade 1,1020 Laeken,1020,Laeken,"Buro & Design Center, 1, Esplanade, Laeken - Laken, Ville de Bruxelles - Stad Brussel, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1020, België / Belgique / Belgien",50.89955685,4.34277825645302
GMind analytics,http://www.gmind.net,Wallonia,"Rue du Millénaire 2, 4840 Welkenraedt, Belgium",Rue du Millénaire 2,4840 Welkenraedt,4840,Welkenraedt,"2, Rue du Millénaire, Welkenraedt, Verviers, Liège, Wallonie, 4840, België / Belgique / Belgien",50.65486275,5.9542788
Humain.AI,http://humain.ai,Flanders,"Gaston Crommelaan 8, 9050 Gent, Belgium",Gaston Crommelaan 8,9050 Gent,9050,Gent,,,
I-Pulses,https://www.i-pulses.be/,Wallonia,"Esplanade de Cuyper Beniest 5, 4671 Blégny, Belgium",Esplanade de Cuyper Beniest 5,4671 Blégny,4671,Blégny,"Esplanade de Cuyper-Beniest, Ancienne Caserne de Saive, Cahorday, Blegny, Liège, Wallonie, 4671, België / Belgique / Belgien",50.6536899,5.6770714
In The Pocket,http://inthepocket.com,Flanders,"Sassevaartstraat 46/401, 9000 Gent, Belgium",Sassevaartstraat 46/401,9000 Gent,9000,Gent,"In The Pocket, 46, Sassevaartstraat, Tolhuis, Gent, Oost-Vlaanderen, Vlaanderen, 9000, België / Belgique / Belgien",51.06731095,3.73274171433431
Ingestic,https://www.ingestic.be/,Wallonia,"Rue du Manège 18b, 1301 Wavre, Belgium",Rue du Manège 18b,1301 Wavre,1301,Wavre,"Rue du Manège, Bierges, Wavre, Nivelles, Brabant wallon, Wallonie, 1301, België / Belgique / Belgien",50.7088347,4.6026867
Invenira,http://www.invenira.com,Flanders,"Professor Roger Van Overstraetenplein 5, 3000 Leuven, Belgium",Professor Roger Van Overstraetenplein 5,3000 Leuven,3000,Leuven,"5, Professor Roger Van Overstraetenplein, Leuven, Vlaams-Brabant, Vlaanderen, 3000, België / Belgique / Belgien",50.8780717,4.7164707
Ixor,https://ixor.be/,Flanders,"Schuttersvest 75, 2800 Mechelen, Belgium",Schuttersvest 75,2800 Mechelen,2800,Mechelen,"75, Schuttersvest, Mechelen, Antwerpen, Vlaanderen, 2800, België / Belgique / Belgien",51.0208146,4.481749846168763
Kantify,http://kantify.com,Brussels,"Louizalaan 54, 1050 Brussel, Belgium",Louizalaan 54,1050 Brussel,1050,Brussel,"Neibo, 54, Avenue Louise - Louizalaan, Bruxelles - Brussel, Ville de Bruxelles - Stad Brussel, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1050, België / Belgique / Belgien",50.8334605,4.3581512
Klarrio,https://klarrio.com/,Flanders,"Plantin en Moretuslei 1A, 2018 Antwerpen, Belgium",Plantin en Moretuslei 1A,2018 Antwerpen,2018,Antwerpen,"1A, Plantin en Moretuslei, Klein-Antwerpen, Antwerpen, Vlaanderen, 2018, België / Belgique / Belgien",51.210572799999994,4.418765431382971
Lantana,http://www.lantana.be,Brussels,"Boulevard d'Anvers / Antwerpselaan 40​,1000 Brussels, Belgium",Boulevard d'Anvers / Antwerpselaan 40​,1000 Brussels,1000,Brussels,"DigitYser, 40, Boulevard d'Anvers - Antwerpselaan, Quartier des Quais - Kaaienwijk, Pentagone - Vijfhoek, Bruxelles - Brussel, Ville de Bruxelles - Stad Brussel, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1000, België / Belgique / Belgien",50.8573847,4.3501433
ML6,http://ml6.eu,Flanders,"Esplanade Oscar Van De Voorde 1, 9000 Gent, Belgium",Esplanade Oscar Van De Voorde 1,9000 Gent,9000,Gent,"1, Esplanade Oscar Van de Voorde, Rijsenbergwijk, Gent, Oost-Vlaanderen, Vlaanderen, 9000, België / Belgique / Belgien",51.0373891,3.7069341
Mobius Design Thinking,https://www.mobius.eu/en/,Flanders,"Kortrijksesteenweg 152, 9830 Sint-Martens-Latem, Belgium",Kortrijksesteenweg 152,9830 Sint-Martens-Latem,9830,Sint-Martens-Latem,"152, Kortrijksesteenweg, Hooglatem, Sint-Martens-Latem, Gent, Oost-Vlaanderen, Vlaanderen, 9830, België / Belgique / Belgien",51.00863485,3.63084164052022
N-side,http://www.n-side.com,Flanders,"Av. Baudouin 1er 25, 1348 Ottignies-Louvain-la-Neuve, Belgium",Av. Baudouin 1er 25,1348 Ottignies-Louvain-la-Neuve,1348,Ottignies-Louvain-la-Neuve,,,
Odase,http://www.odaseontologies.com,Brussels,"Kazernestraat 45, 1000 Brussel, Belgium",Kazernestraat 45,1000 Brussel,1000,Brussel,"45, Rue de la Caserne - Kazernestraat, Quartier Midi-Lemonnier - Zuid-Lemonnierwijk, Pentagone - Vijfhoek, Bruxelles - Brussel, Ville de Bruxelles - Stad Brussel, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1000, België / Belgique / Belgien",50.8418357,4.3414499
Omina Tech.,http://www.omina.be,Flanders,"Mechelsesteenweg 19, 2018 Antwerpen, Belgium",Mechelsesteenweg 19,2018 Antwerpen,2018,Antwerpen,"Extensionelle, 19-21, Mechelsesteenweg, Theaterbuurt, Antwerpen, Vlaanderen, 2018, België / Belgique / Belgien",51.2102236,4.4081934
Onebonsai,https://onebonsai.com/fr/,Flanders,"Luchthavenlaan 4, 1800 Vilvoorde, Belgium",Luchthavenlaan 4,1800 Vilvoorde,1800,Vilvoorde,"Politierechtbank Vilvoorde, 4, Luchthavenlaan, Mima, Vilvoorde, Halle-Vilvoorde, Vlaams-Brabant, Vlaanderen, 1800, België / Belgique / Belgien",50.9251543,4.4360226191339915
Optimal Computing,https://www.optimalcomputing.be/index.php?company=company,Wallonia,"Rue de la Vignette 36, 7034 Mons, Belgium",Rue de la Vignette 36,7034 Mons,7034,Mons,"Rue de la Vignette, Saint-Denis, Mons, Hainaut, Wallonie, 7034, België / Belgique / Belgien",50.4971711,4.0117051
Optimal Design,https://optimaldesign.com/OD/company.html,Brussels,"20 rue de l'Industrie B, 1400 Nivelles, Belgium",20 rue de l'Industrie B,1400 Nivelles,1400,Nivelles,,,
P4A,https://performanceforassets.com/,Wallonia,"Rue des Gerboises 1, 5100 Namur, Belgium",Rue des Gerboises 1,5100 Namur,5100,Namur,"Rue des Gerboises, Naninne, Namur, Wallonie, 5100, België / Belgique / Belgien",50.4233109,4.9246074
Pegus Digital,https://pegus.digital/,Flanders,"Noordlaan 18, 8520 Kuurne, Belgium",Noordlaan 18,8520 Kuurne,8520,Kuurne,"Noordlaan, Sint-Pieter, Kuurne, Kortrijk, West-Vlaanderen, Vlaanderen, 8520, België / Belgique / Belgien",50.8633024,3.2629708
Proxyclick,https://www.proxyclick.com/fr/?ads_cmpid=10183243095&ads_adid=100705580294&ads_matchtype=e&ads_network=g&ads_creative=438584373765&utm_term=proxyclick&ads_targetid=kwd-333521833842&utm_campaign=&utm_source=adwords&utm_medium=ppc&ttv=2&gclid=Cj0KCQiAoab_BRCxARIsANMx4S4eNWy3CB0MJQS_f507NsZWoBKEntVo3N3ow4gD_75rlWTZ5BN3a5QaAgU_EALw_wcB,Brussels,"Sint-Huibrechtsstraat 17, 1150 Brussel, Belgium",Sint-Huibrechtsstraat 17,1150 Brussel,1150,Brussel,"17, Rue Saint-Hubert - Sint-Huibrechtsstraat, Woluwe-Saint-Pierre - Sint-Pieters-Woluwe, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1150, België / Belgique / Belgien",50.8339524,4.412733663414312
Radix.ai,http://www.radix.ai,Brussels,"Kantersteen 10, 1000 Brussel, Belgium",Kantersteen 10,1000 Brussel,1000,Brussel,"Le Wagon, 10, Cantersteen - Kantersteen, Quartier Royal - Koninklijke Wijk, Pentagone - Vijfhoek, Bruxelles - Brussel, Ville de Bruxelles - Stad Brussel, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1000, België / Belgique / Belgien",50.8457606,4.3577896
Reimagine,http://www.reimagine.be,Wallonia,"Witte Patersstraat 4, 1040 Etterbeek, Belgium",Witte Patersstraat 4,1040 Etterbeek,1040,Etterbeek,"Shayp, 4, Rue des Pères Blancs - Witte Patersstraat, Etterbeek, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1040, België / Belgique / Belgien",50.8265808,4.3998762
Room40,http://roomfourzero.com,Flanders,"Quai sur Meuse 19, 4000 Liège, Belgium",Quai sur Meuse 19,4000 Liège,4000,Liège,"Quai sur Meuse, Féronstrée, Liège, Wallonie, 4000, België / Belgique / Belgien",50.6419769,5.577254
Sagacify,http://www.sagacify.com,Brussels,"De Broquevillelaan 12, 1150 Brussels, Belgium",De Broquevillelaan 12,1150 Brussels,1150,Brussels,"12, Avenue de Broqueville - de Broquevillelaan, Woluwe-Saint-Pierre - Sint-Pieters-Woluwe, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1150, België / Belgique / Belgien",50.8381879,4.4099463
Savaco,http://www.savaco.com/,Flanders,"Beneluxpark 19, 8500 Kortrijk, Belgium",Beneluxpark 19,8500 Kortrijk,8500,Kortrijk,"19, Beneluxpark, Kortrijk, West-Vlaanderen, Vlaanderen, 8500, België / Belgique / Belgien",50.79842485,3.280408883421058
Seen apps,http://www.seen-apps.com,Wallonia,"Rue Marcel de Brogniez 27/1, 4690 Bassenge, Belgium",Rue Marcel de Brogniez 27/1,4690 Bassenge,4690,Bassenge,"Rue Marcel de Brogniez, Bassenge, Liège, Wallonie, 4690, België / Belgique / Belgien",50.7566485,5.6023891
Sentiance,https://www.sentiance.com,Flanders,"Korte Lozanastraat 20, 2018 Antwerpen, Belgium",Korte Lozanastraat 20,2018 Antwerpen,2018,Antwerpen,"Sentiance HQ, 20-26, Korte Lozanastraat, Markgrave, Antwerpen, Vlaanderen, 2018, België / Belgique / Belgien",51.19655365,4.4079318717516305
Skalup,http://www.skalup.com,Wallonia,"Av. Reine Astrid 16, 5000 Namur, Belgium",Av. Reine Astrid 16,5000 Namur,5000,Namur,"16, Avenue Reine Astrid, Salzinnes, Namur, Wallonie, 5000, België / Belgique / Belgien",50.46249725,4.8570920499999986
Sparkle,https://www.sparkle.tech/,Wallonia,"Rue de la Terre du Prince 17, 7000 Mons, Belgium",Rue de la Terre du Prince 17,7000 Mons,7000,Mons,"Indemnis, 17, Rue de la Terre du Prince, Quartier Rachot, Mons, Hainaut, Wallonie, 7000, België / Belgique / Belgien",50.4517339,3.9483235
Tapptic,http://www.tapptic.com,Brussels,"Terkamerenlaan 28/30, 1000 Brussel, Belgium",Terkamerenlaan 28/30,1000 Brussel,1000,Brussel,"28/30, Boulevard de la Cambre - Terkamerenlaan, La Cambre - Ter Kameren, Bruxelles - Brussel, Ville de Bruxelles - Stad Brussel, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1000, België / Belgique / Belgien",50.8159739,4.3751689
TDSGN,https://www.tdsgn.be/,Wallonia,"Ninoofsesteenweg 211, 1760 Roosdaal, Belgium",Ninoofsesteenweg 211,1760 Roosdaal,1760,Roosdaal,"209;211, Ninoofsesteenweg, Strijtem, Roosdaal, Halle-Vilvoorde, Vlaams-Brabant, Vlaanderen, 1760, België / Belgique / Belgien",50.83276305,4.1016371200109685
Tengu,https://www.tengu.io/,Flanders,"Dendermondsesteenweg 50, 9000 Gent, Belgium",Dendermondsesteenweg 50,9000 Gent,9000,Gent,"Trage Wegen vzw, 50, Dendermondsesteenweg, Dampoortwijk, Gent, Oost-Vlaanderen, Vlaanderen, 9000, België / Belgique / Belgien",51.0553048,3.7417701
Thelis,http://www.thelis.be,Wallonia,"Rue des Salamandres 2, 5100 Namur, Belgium",Rue des Salamandres 2,5100 Namur,5100,Namur,"Rue des Salamandres, Naninne, Namur, Wallonie, 5100, België / Belgique / Belgien",50.4240804,4.9217795
Trendskout,http://www.trendskout.com,Flanders,"Ottergemsesteenweg Zuid 808, 9000 Gent, Belgium",Ottergemsesteenweg Zuid 808,9000 Gent,9000,Gent,"Ghelamco Arena, 808, Ottergemsesteenweg-Zuid, Gent, Oost-Vlaanderen, Vlaanderen, 9000, België / Belgique / Belgien",51.01607545,3.7325262840243267
Tropos,http://www.tropos.io,Flanders,"Mechelsesteenweg 271, 2018 Antwerpen, Belgium",Mechelsesteenweg 271,2018 Antwerpen,2018,Antwerpen,"Lidl, 271-273, Mechelsesteenweg, Harmonie, Antwerpen, Vlaanderen, 2018, België / Belgique / Belgien",51.1999153,4.4146741
Underside,http://www.underside.be,Wallonia,"Av. Georges Lemaître 5, 6041 Charleroi, Belgium",Av. Georges Lemaître 5,6041 Charleroi,6041,Charleroi,"Avenue Georges Lemaître, Aéropole, Gosselies, Charleroi, Hainaut, Wallonie, 6041, België / Belgique / Belgien",50.4738624,4.4729343
VECTR Consulting,https://Vectr.Consulting,Flanders,"De Villermontlaan 9, 2550 Kontich, Belgium",De Villermontlaan 9,2550 Kontich,2550,Kontich,,,
VERHAERT,https://www.verhaert.com,Wallonia,"Hogenakkerhoekstraat 21, 9150 Kruibeke, Belgium",Hogenakkerhoekstraat 21,9150 Kruibeke,9150,Kruibeke,"Hogenakkerhoekstraat, Kruibeke, Sint-Niklaas, Oost-Vlaanderen, Vlaanderen, 9150, België / Belgique / Belgien",51.195992,4.3188704
VersaSense,http://www.versasense.com,Flanders,"Kapeldreef 60, 3001 Leuven, Belgium",Kapeldreef 60,3001 Leuven,3001,Leuven,"Innovatie- en Incubatiecentrum, 60, Kapeldreef, Heverlee, Leuven, Vlaams-Brabant, Vlaanderen, 3001, België / Belgique / Belgien",50.862076650000006,4.671562473993301
Waylay,http://www.waylay.io,Flanders,"Blekersdijk 33a, 9000 Gent, Belgium",Blekersdijk 33a,9000 Gent,9000,Gent,"Blekersdijk, Ham, Gent, Oost-Vlaanderen, Vlaanderen, 9000, België / Belgique / Belgien",51.0591035,3.7315548
WEPOC,https://wepoc.be/,Wallonia,"Rue du Traité de Rome 6, 1348 Ottignies-Louvain-la-Neuve, Belgium",Rue du Traité de Rome 6,1348 Ottignies-Louvain-la-Neuve,1348,Ottignies-Louvain-la-Neuve,"Rue du Traité de Rome, Bruyères, Louvain-la-Neuve, Ottignies-Louvain-la-Neuve, Nivelles, Brabant wallon, Wallonie, 1348, België / Belgique / Belgien",50.6704032,4.6102931
XC Lab,http://xclab.com/,Wallonia,"Quai Louva 21, 4102 Seraing, Belgium",Quai Louva 21,4102 Seraing,4102,Seraing,"21, Quai Louva, Seraing, Liège, Wallonie, 4102, België / Belgique / Belgien",50.606865400000004,5.540260340699884
6Wolves,http://www.6wolves.ai,Brussels,"Moerstraat 40, 8000 Brugge, Belgium",Moerstraat 40,8000 Brugge,8000,Brugge,"40, Moerstraat, Steenstraatkwartier, Brugge-Centrum, Brugge, West-Vlaanderen, Vlaanderen, 8000, België / Belgique / Belgien",51.2101623,3.2197698963656807
Artiq,http://www.artiq.eu,Flanders,"Professor Roger Van Overstraetenplein 5, 3000 Leuven, Belgium",Professor Roger Van Overstraetenplein 5,3000 Leuven,3000,Leuven,"5, Professor Roger Van Overstraetenplein, Leuven, Vlaams-Brabant, Vlaanderen, 3000, België / Belgique / Belgien",50.8780717,4.7164707
Aspect Analytics,http://www.aspect-analytics.com,Flanders,"C-Mine 12, 3600 Genk, Belgium",C-Mine 12,3600 Genk,3600,Genk,"C-Mine Crib, 12, C-mine, Genk, Hasselt, Limburg, Vlaanderen, 3600, België / Belgique / Belgien",50.9827078,5.49204563881773
