Company Name,Link,Region,Address
Gabi Smartcare,https://gabismartcare.com/,Wallonia,"Rue Emile Francqui 6 2nd Floor, 1435 Mont-Saint-Guibert"
Genae,https://www.genae.com/,Flanders,"Justitiestraat 6, 2018 Antwerpen"
HeartKinetics,https://heartkinetics.com/fr/,Wallonia,"Drève Richelle 161/57/Building M, 1410 Waterloo"
Hippocreates,http://www.hippocreates.be/,Flanders,"Ter Heidelaan 95A, 3200 Aarschot"
IBA,https://iba-worldwide.com/,Wallonia,
icoMetrix,http://www.icometrix.com,Flanders,"Kolonel Begaultlaan 1b, 3012 Leuven"
Innovation Sprint,https://innovationsprint.eu/,Brussels,"Clos Chapelle-aux-Champs 30 bte 1.30.30, 1200 Brussels"
Lindacare,https://lindacare.com/,Flanders,"Grauwmeer 1/41, 3001 Leuven"
Lopos,https://www.lopos.be/,Flanders,"Ottergemsesteenweg Zuid 808, 9000 Gent"
Lynxcare,http://lynxcare.be,Flanders,"Tiensevest 132, 3000 Leuven"
Medical Robots,http://www.medical-robots.be,Flanders,
Minze health,https://minzehealth.com/,Flanders,"Offerandestraat 1, 2060 Antwerpen"
Molecubes,http://molecubes.com,Flanders,"Ottergemsesteenweg Zuid 808 bus 325, 9000 Gent"
Mona,https://mona.health/,Flanders,
Mynutia,http://www.mynutia.com,Flanders,
Nischala Tech.,https://www.nischalatech.com/,Flanders,
OncoDNA,http://www.oncoshare.com,Wallonia,december 2012
Oncoradiomics,http://www.oncoradiomics.com,Wallonia,"Oxfordlaan 55, 6229 EV Maastricht, Nederland"
Ontoforce,http://www.ontoforce.com,Flanders,"Moutstraat 108, 9000 Gent"
Ovizio,https://ovizio.com/,Brussels,"Kersbeeklaan 306, 1180 Ukkel"
Partheas,https://partheas.com/,Flanders,"Sint Jorisstraat 17A, 9300 Aalst"
Phasya,https://www.phasya.com/en,Wallonia,"Rue du Bois Saint-Jean 29, 4102 Seraing"
ProteoFormiX,https://www.proteoformix.com/,Flanders,
Qaelum,https://qaelum.com/,Flanders,"Gaston Geenslaan 9, 3001 Leuven"
Qompium,https://www.fibricheck.com/,Flanders,
QuantaCorp,http://www.QuantaCorp.io,Flanders,"Amelia Earhartlaan 17, 9051 Gent"
Relu,http://relu.eu ,Flanders,"Kapeldreef 60, 3001 Leuven"
Rombit,http://rombit.com,Flanders,"Meir 30, 2000 Antwerpen"
Saana,https://saana.co/,Brussels,
salamander U,https://www.salamanderu.com/ ,Wallonia,"Science Park, Marche-en-Famenne Novalis, Rue de la Science 8, 6900"
Savics,http://www.savics.org ,Brussels,"Gemeentelijk Godshuisstraat 6, 1170 Watermaal-Bosvoorde"
Simpl,http://www.logiciel-crm.be/,Wallonia,"Joseph Verhasseltstraat 9, 1083 Bruxelles"
Sneezz,https://sneezz.be/,Flanders,
Spectricity,http://spectricity.com,Flanders,"Stationsstraat 55, 2800 Mechelen"
Spentys ,http:// https://www.spentys.com/ ,Brussels,"Sint-Denijsstraat 120, 1190 Vorst"
Strong Supplies,http://strong.supplies,Flanders,"Waalkens 11C, 9000 Gent"
Sunrise,http://www.sunrise-sleep.com ,Wallonia,
TELEMIS,http://www.telemis.com ,Wallonia,"Av. Athéna 2, 1348 Ottignies-Louvain-la-Neuve"
The Medical Cloud Company,http://www.medicalcloudcompany.com,Wallonia,"Clos Chanmurly 13, 4000 Liège"
Vitamin.ai,https://vitamin-ai.com,Flanders,
Xperthis,http://www.xperthis.be,Brussels,
Yagram Health,http://www.yagram.com,Brussels,
Yoboo,http://yoboo.health,Flanders,
Alberts,http://alberts.be,Flanders,"Bijkhoevelaan 32c, 2110 Wijnegem"
Amigrow,https://amigrowfarming.com/,Flanders,
Ampacimon,http://www.ampacimon.com/,Wallonia,"Rue de Wallonie 11, 4460 Grâce-Hollogne"
Ask Attis,http://www.askattis.com,Flanders,
Blacklight Analytics ,https://www.blacklight-analytics.com/,Wallonia,"Rue du Bois Saint-Jean, 4102 Seraing"
Building IQ,https://www.b-iq.be/nl,Flanders,2012
BUILDWIND,http://www.buildwind.net,Brussels,"Barastraat 175, 1070 Bruxelles"
byNubian,https://www.bynubian.com/fr/,Flanders,"Coupure Rechts 64D, 9000 Gent"
Dapesco,https://www.dapesco.com/fr/,Wallonia,"Rue Granbonpré 4, 1348 Ottignies-Louvain-la-Neuve"
Enervalis,http://www.enervalis.com,Flanders,"Lummense Kiezel 51, 3510 Hasselt"
Ethernetics,http://ethernetics.tech,Flanders,"Antwerpse Steenweg 19, 9080 Lochristi"
Foodpairing,https://www.foodpairing.com/fr/home,Flanders,"Ottergemsesteenweg Zuid 808, 9000 Gent"
Foresightee,http://www.foresightee.com,Flanders,
Hyler,http://www.hyler.be/,Flanders,"Vijvedreef 54, 8710 Wielsbeke"
i-farming,http://i-farming.net,Flanders,
IPBuilding,https://www.ipbuilding.be/,Flanders,"Ninovesteenweg 196, 9320 Aalst"
LAMMP,https://lammp.be/,Flanders,"Mechelsesteenweg 271/bus 2.1, 2018 Antwerpen"
Memoco,https://memoco.eu/,Wallonia,"Rue de Rodeuhaie 6, 1348 Ottignies-Louvain-la-Neuve"
Opinum,https://www.opinum.com/fr,Wallonia,"Rue Emile Francqui 9, 1435 Mont-Saint-Guibert"
Otrema,http://www.otrema.eu,Brussels,
SoundTalks,http://www.soundtalks.be,Flanders,"Interleuvenlaan 15C, 3001 Leuven"
Strategic Water,http://strategicwater.be,Flanders,"Gaston Crommenlaan 8, 9050 Gent"
Sumaqua,http://www.sumaqua.be,Flanders,"Sluisstraat 79 b3.01, 3000 Leuven"
The Kobi Company,http://thekobi.com,Flanders,"Ambachtenlaan 7C, 3001 Leuven"
Toadi,http://www.toadi.com,Flanders,
WeSmart,http://www.wesmart.com,Brussels,"Dieudonné Lefèvrestraat 17, 1020 Brussel"
ACM,https://www.acmonline.eu/login.php,Wallonia,1 april 2013
Aividens,http://www.aividens.com,Brussels,"Vrijwilligerslaan 19, 1160 Oudergem"
Automated Analytics,http://automatedanalytics.eu,Flanders,"Schaarbeekstraat 20 E1.1, 9120 Beveren"
Booqee,http://www.booqee.com,Brussels,
CashForce,http://www.discover-edge.com,Flanders,"Atealaan 34, 2200 Herentals"
Complidata,http://complidata.io,Flanders,
Contract.fit,http://contract.fit,Flanders,
DeJuristen,https://dejuristen.be/?lang=fr,Flanders,"Heernislaan 19, 9000 Gent"
Docbyte,https://www.docbyte.com/,Flanders,"Kortrijksesteenweg 1144B, 9051 Gent"
Edebex,http://edebex.com,Brussels,"Jules Cockx Straat 8-10 box 2, 1160 Brussels"
EisphorIA,http://www.eisphoria.com,Brussels,
Features Analytics,http://www.features-analytics.com,Wallonia,"Rue de Charleroi 2, 1400 Nivelles"
Horus Software,https://horussoftware.be/fr/,Wallonia,"Quai des Ardennes 9, 4020 Liège"
Infinity Mobile,http://infinity-mobile.io,Flanders,"Hoogstraat 29, 9850 Deinze"
InvestSuite,http://www.investsuite.eu,Flanders,"Sluisstraat 79, 3000 Leuven"
Keyrock,http://keyrock.eu,Brussels,"Louizalaan 251, 1000 Brussel"
Lawrenza,https://lawrenza.com/,Brussels,
Lex.be,http://lex.be,Brussels,"Witte Patersstraat 4, 1040 Etterbeek"
Ludebo,https://www.sec-dpo.com/,Wallonia,
NGData,http://www.lilyproject.org,Flanders,"bus 10, Sluisweg 2, 9000 Gent"
RiskConcile,http://www.riskconcile.com,Flanders,"Kapeldreef 60, 3001 Leuven"
Vadis Tech.,http://www.vadis.com,Brussels,"Tervurenlaan 270, 1150 Brussel"
WeGroup,http://www.wegroup.be,Flanders,"Moutstraat 68, 9000 Gent"
Yields,http://yields.io,Brussels,
ActiveMe,http://activeme.be,Wallonia,"Rue Granbonpré 11 Building E (1st Floor, 1348"
AI Blackbelt,https://www.aiblackbelt.com/,Brussels,"Kantersteen 10, 1000 Brussel"
ammco,https://ammco.be/en/,Flanders,"Aarschotsesteenweg 147, 3111 Rotselaar"
BDM Reco,http://bdmreco.io,Wallonia,
Be Central,http://becentral.org/ ,Brussels,"Kantersteen 10/12, 1000 Brussel"
CitizenLab,http://citizenlab.co,Flanders,september 2015
Comproved,https://comproved.com/,Flanders,
Cytomine,http://www.cytomine.be,Wallonia,"Quai Banning 6, 4000 Liège"
Dalberg Data Insights,http://www.dalberg.com,Brussels,
Datacamp,http://www.datamind.org,Flanders,2013
Dwengo,https://dwengo.org/,Flanders,
Hovertone,https://www.hovertone.com/,Wallonia,"Rue des Soeurs Noires 4, 7000 Mons"
Knowliah,http://www.knowliah.com/,Flanders,"Leuvensesteenweg 282, 3190 Boortmeerbeek"
La Scientotheque,https://lascientotheque.be/,Brussels,"Expérimentarium de Physique de l'ULB, CP238, Triomflaan, 1050 Brussel"
Look,http://www.look-app.net,Wallonia,Jean Beyl
Molengeek,https://molengeek.com ,Brussels,"Pl. de la Minoterie 10, 1080 Molenbeek-Saint-Jean"
Musimap,http://www.musimap.com,Wallonia,"Vrijwilligerslaan 19, 1160 Oudergem"
nebula4,http://,Flanders,
Numeria,http://numeria.be/ ,Wallonia,
OPSORO,http://www.opsoro.be,Flanders,
Scriptbook,http://scriptbook.io,Flanders,
Aloxy,https://www.aloxy.io/,Flanders,"Sint-Pietersvliet 7, 2000 Antwerpen"
AMIA Systems,http://www.amia-systems.com,Brussels,"Greenbizz, Dieudonné Lefèvrestraat 17, 1020 Brussel"
Arkite ,https://arkite.com/,Flanders,"C-Mine 12, 3600 Genk"
Azumuta,https://www.azumuta.com/,Flanders,"Technologiepark-Zwijnaarde 122, 9052 Gent"
Deltaray,https://deltaray.eu/,Flanders,"Schaliënhoefdreef 20T, 2970 Antwerpen"
Diabatix,http://diabatix.com,Flanders,"Technologielaan 11, 3001 Leuven"
epic blue,http://www.epic.blue,Flanders,"Asstraat 5, 3000 Leuven"
Factry,http://www.factry.io,Brussels,"Oktrooiplein 1, 9000 Gent"
Flexible Robotic Solutions,http://www.frsrobotics.com,Flanders,"Kapeldreef 60, 3001 Leuven"
i-Care,https://www.icareweb.com/fr-be/,Wallonia,
Inimco,https://inimco.com/,Flanders,"Frankrijkstraat 11/k5, 9140 Temse"
Iqunet,http://iqunet.com,Flanders,"Broekstraat 82, 9220 Hamme"
Magics Instruments,http://www.magics.tech,Flanders,"Cipalstraat 3, 2440 Geel"
Metheore,http://metheore.be/,Wallonia,"Rue du Bois Saint-Jean 15/1, 4102 Seraing"
MH Automation,http://www.armin-robot.com,Wallonia,
Movanis,http://www.movanis.be/,Flanders,"Mijnwerkerslaan 14, 3550 Heusden-Zolder"
PEPITe,https://www.pepite.com/,Wallonia,
Pick-it,http://www.pickit3d.com,Flanders,"Gaston Geenslaan 9, 3001 Oud-Heverlee"
SCM Revamp,http://www.scmrevamp.com,Wallonia,"Clos St Feuillien 5, 7070 Le Rœulx"
Sirris,http://www.sirris.be ,Wallonia,28 april 1949
Sitemark,https://www.sitemark.com ,Flanders,"Gaston Geenslaan 9, 3001 Leuven"
Sitemark,http:// https://www.smartnodes.be/,Wallonia,"Gaston Geenslaan 9, 3001 Leuven"
Solvice,http://www.solvice.io,Flanders,"Vlasgaardstraat 52, 9000 Gent"
The Grain,https://www.thegrain.pro/,Flanders,"Sint-Pietersvliet 7, 2000 Antwerpen"
ThePickPath,http://thepickpath.com,Wallonia,
Tractonomy,http://www.tractonomy.com,Flanders,
Trendminer,https://www.trendminer.com,Flanders,2013
Tusk IC,http://www.tusk-ic.com,Flanders,"Cuperusstraat 5, 2018 Antwerpen"
urbantz,http://www.urbantz.com,Brussels,"Louizalaan 251, 1000 Brussel"
VoxelSensors,https://www.voxelsensors.com/,Brussels,
Yazzoom,http://www.yazzoom.com,Flanders,"Derbystraat 65/building A, 9051 Gent"
Zensor,http://www.zensor.be,Brussels,"Witte Patersstraat 4, 1040 Etterbeek"
Airshaper,http://www.airshaper.com,Flanders,
Behault Mining,http://WWW.BEHAULT.EU,Flanders,
Conundra,http://www.conundra.eu,Flanders,"Voordries 41, 9860 Oosterzele"
Dropon,http://dropon.io,Flanders,"Oktrooiplein 1/bus 201, 9000 Gent"
eXia,https://www.exia.eu/site/,Brussels,"Witte Patersstraat 4, 1040 Brussel"
Ivex,http://www.ivex.ai,Flanders,"Kapeldreef 60, 3001 Leuven"
Jeasy,http://jeasy.ai,Brussels,"De Broquevillelaan 12, 1150 Brussel"
Mabo E&A,http://www.agv-automation.com,Flanders,"Mallekotstraat 43a, 2500 Lier"
Motulus,https://motulus.com/,Flanders,"Antwerpse Steenweg 61, 2660 Antwerpen"
Movetex,http://movetex.be,Flanders,"Provincieweg 405, 9550 Herzele"
OTIV,http://www.otiv.ai,Flanders,"Vijfwindgatenstraat 21 E, 9000 Gent"
railnova,https://www.railnova.eu ,Brussels,"Emile Feronstraat 153, 1060 Brussel"
Sailsense,http://www.sailsense.io,Brussels,"Kantersteen 47, 1000 Brussel"
SEAFAR,http://www.seafar.eu,Flanders,
Westray,http://www.westray.eu,Flanders,"47,13 km²"
XenomatiX,http://www.xenomatix.com,Flanders,"Research Park Haasrode, Romeinse straat 6, 3001 Leuven"
Amoobi,https://www.amoobi.com/,Wallonia,"Rue de l'Industrie 20, 1400 Nivelles"
Calltic,http://www.calltic.com,Flanders,
Elymentz,http://www.elymentz.com,Brussels,"De Meeûssquare 38/40, 1000 Brussel"
Retailsonar,http://retailsonar.com,Flanders,"Ferdinand Lousbergskaai 103, 9000 Gent"
RetViews,http://retviews.com,Brussels,"Louizalaan 231, 1050 Brussel"
Riaktr,http://www.riaktr.com,Brussels,"Kapitein Crespelstraat 2/4, 1050 Elsene"
Shavatar,http://www.shavatar.me,Flanders,
The retail factory,https://theretailfactory.be,Flanders,
Treedy’s,http://treedys.com/,Brussels,
Adshot,http://adshot.io,Flanders,
Araani,http://www.araani.com,Flanders,"Luipaardstraat 12, 8500 Kortrijk"
Depthen,https://www.depthen.com/fr/,Wallonia,
EyeSee,http://www.eyesee.be,Flanders,2012
Family-Eye,http://www.familyeye.be,Flanders,0495 30 67 17
Fielddrive,http://www.fielddrive.eu,Flanders,"Mechelsesteenweg 303, 2830 Willebroek"
Humainly,http://webmonks.vision,Flanders,
Kaspard,http://kaspard.com,Brussels,"Vorstlaan 36, 1170 Watermaal-Bosvoorde"
Limecraft,https://www.limecraft.com/,Flanders,"Sint-Salvatorstraat 18b/301, 9000 Gent"
Macty,http://macty.eu,Flanders,
Mintt,https://mintt.care/,Wallonia,"Louizalaan 251, 1050 Brussel"
Phoenix AI,https://www.phoenix-ai.com/,Wallonia,"2, Rue du vent des noirs moineaux, 7600 Péruwelz"
PixelVision,http://www.pixelvision.be,Flanders,"Kempische Steenweg 303/b23, 3500 Hasselt"
Piximate,http://www.piximate.net,Wallonia,"Av. Reine Astrid 92, 1310 La Hulpe"
Robovision,http://www.robovision.ai,Flanders,"Technologiepark-Zwijnaarde 80, 9052 Gent"
SeeMe,http://seeme.ai,Flanders,
Segments.ai,http://segments.ai,Flanders,
Sensifai,http://www.sensifai.com,Brussels,
VeriFlix,http://www.veriflix.ai/en/,Wallonia,"Av. Reine Astrid 92, 1310 La Hulpe"
ViBE,http://www.vibeinmotion.com,Wallonia,"Turnhoutsebaan 139a, 2140 Antwerpen"
Vision++,http://www.visionplusplus.com,Flanders,"Interleuvenlaan 15 Building G, 3001"
3State,https://3state.eu/,Flanders,
Aerospacelab,http://www.aerospacelab.be/,Wallonia,"Rue André Dumont 9, 1435 Mont-Saint-Guibert"
Airobot,https://airobot.eu/,Flanders,"1090, Lichtenberglaan, 3800 Sint-Truiden"
ALX systems,http://www.alxsys.com,Flanders,"Rue de la Résistance 26, 4681 Oupeye"
CrowdScan,http://www.crowdscan.be/,Flanders,
DeltaQ,http://www.deltaq.io,Brussels,"Antwerpselaan 40, 1000 Brussel"
Dronematrix,https://www.dronematrix.eu/,Flanders,
EASICS,https://www.easics.com/,Flanders,"Diestsevest 32/2B, 3000 Leuven"
Edgise,http://www.edgise.com,Flanders,"Gaston Geenslaan 11/B4, 3001 Leuven"
Geckomatics,http://www.geckomatics.com,Flanders,"Sint-Pietersvliet 7, 2000 Antwerpen"
Intermodalics,https://www.intermodalics.eu/,Flanders,"Gaston Geenslaan 9, 3001 Leuven"
IOOS ,http://www.ioos.be,Flanders,"Donklaan 182, 9290 Berlare"
March,http://www.letsmarch.be,Flanders,"Ottergemsesteenweg Zuid 808, 9000 Gent"
Oscars,https://www.oscars-sa.eu/,Wallonia,Verenigde Staten
Raymon,http://raymon.ai,Flanders,
Rockestate,http://www.rockestate.be,Brussels,"Witte Patersstraat 4, 1040 Etterbeek"
SpacePal,http://spacepal.eu,Flanders,"Bijkhoevelaan 32c, 2110 Wijnegem"
Uware Tech.,http://uware.io,Brussels,"Terkamerenlaan 28, 1000 Brussel"
Activeusers,http://activeusers.io,Brussels,
Bothive,http://bothive.be,Flanders,0498 81 85 87
BOTWISER,http://botwiser.com,Brussels,
Chatbot Plus,http://chatbot-plus.com,Brussels,"Leuvensesteenweg 775, 1140 Brussel"
Chatlayer,https://chatlayer.ai/,Flanders,"Ankerrui 9, 2000 Antwerpen"
Clever,http://clever.be,Flanders,
Craftworkz,https://www.craftworkz.co/,Flanders,"Gaston Geenslaan 11, 3001 Leuven"
Enigmoo,https://www.facebook.com/enigmoobot/,Brussels,
FaqBot,http://www.faqbot.co,Wallonia,"Chau. de Bruxelles 408, 1300 Wavre"
Lawren.io,http://lawren.io,Flanders,"Sint-Pietersvliet 7, 2000 Antwerpen"
LiNGUiNEO,http://www.linguineo.com,Flanders,
Metachat,http://metachat.com,Flanders,
Oakwood,https://oakwood.global/,Flanders,
OSWALD,https://www.oswald.ai/,Flanders,"Neuseplein 14, 9000 Gent"
Pharmabot,https://pharmacistbot.herokuapp.com/,Brussels,
Acapela Group ,https://www.acapela-group.com/,Wallonia,Bergen
Avantopy,http://avantopy.com,Flanders,
Iris,https://irisprosolutions.com/,Flanders,
Mentis,https://thingks.io/,Brussels,"Congresstraat 13, 1000 Brussel"
NLP Town,https://www.nlp.town/,Flanders,"Lange Lostraat 11, 3212 Lubbeek"
Say It Labs,http://www.sayitlabs.com,Flanders,"Domeinstraat 58, 3010 Leuven"
SmartSpoken,http://www.thecofoundry.co/investments-1/2016/12/29/smartspoken,Flanders,
Textgain,http://www.textgain.com,Flanders,
ThinkNext,http://www.thinknext.be,Flanders,"Minderbroedersstraat 17/2, 3000 Leuven"
Winston Analytics,http://www.winston-analytics.com,Flanders,"Holstraat 44, 9000 Gent"
Acic,http://www.acic.eu/fr/,Wallonia,"Bedrijvenzone Machelen-Cargo 700C, 1830 Machelen"
